entity,code,year,annual_co_emissions_per_capita
Africa,,2012,1.1321875
Africa,,2013,1.1114453
Africa,,2014,1.1508118
Africa,,2015,1.1003323
Africa,,2016,1.1016515
Africa,,2017,1.0856832
Africa,,2018,1.0491422
Africa,,2019,1.0992943
Africa,,2020,0.9982174
Africa,,2021,1.0311713
Africa,,2022,0.99422127
Asia,,2012,4.2622857
Asia,,2013,4.268991
Asia,,2014,4.2966805
Asia,,2015,4.2871428
Asia,,2016,4.2737656
Asia,,2017,4.348663
Asia,,2018,4.445855
Asia,,2019,4.506658
Asia,,2020,4.4004188
Asia,,2021,4.567902
Asia,,2022,4.611434
Europe,,2012,8.110392
Europe,,2013,7.889541
Europe,,2014,7.567912
Europe,,2015,7.5570736
Europe,,2016,7.5343156
Europe,,2017,7.565342
Europe,,2018,7.5211334
Europe,,2019,7.276999
Europe,,2020,6.731591
Europe,,2021,7.1178274
Europe,,2022,6.8578663
North America,,2012,11.982627
North America,,2013,12.10214
North America,,2014,12.049802
North America,,2015,11.67997
North America,,2016,11.321468
North America,,2017,11.131459
North America,,2018,11.3473015
North America,,2019,11.06931
North America,,2020,9.889759
North America,,2021,10.459453
North America,,2022,10.5346775
Oceania,,2012,11.928909
Oceania,,2013,11.536463
Oceania,,2014,11.247753
Oceania,,2015,11.272197
Oceania,,2016,11.280381
Oceania,,2017,11.201084
Oceania,,2018,11.082192
Oceania,,2019,10.930183
Oceania,,2020,10.24328
Oceania,,2021,9.883469
Oceania,,2022,9.85179
South America,,2012,2.853074
South America,,2013,2.9844196
South America,,2014,3.0044835
South America,,2015,2.8904772
South America,,2016,2.7620711
South America,,2017,2.6947637
South America,,2018,2.5143125
South America,,2019,2.4930851
South America,,2020,2.2294097
South America,,2021,2.50236
South America,,2022,2.4865332000000002
World,OWID_WRL,2012,4.878096
World,OWID_WRL,2013,4.8592534
World,OWID_WRL,2014,4.8325562
World,OWID_WRL,2015,4.775163
World,OWID_WRL,2016,4.719525
World,OWID_WRL,2017,4.740302
World,OWID_WRL,2018,4.7850013
World,OWID_WRL,2019,4.770166
World,OWID_WRL,2020,4.4647303
World,OWID_WRL,2021,4.654845
World,OWID_WRL,2022,4.658219
